County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,State
Benton,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,1.5990168,AR
Boone,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Bradley,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
White,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Calhoun,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Carroll,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,1.10184605,AR
Chicot,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Clark,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
VanBuren,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Clay,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Cleburne,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Cleveland,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Columbia,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Conway,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,1.0024119,AR
Craighead,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,1.045026536,AR
