AgencyID,PrimaryUZA,UZAName,Population
90050,254,"Simi Valley, CA",125206
90052,22,"Riverside-San Bernardino, CA",1932666
90061,270,"Yuba City, CA",116719
90062,276,"Seaside-Monterey, CA",114237
90078,66,"Concord, CA",615968
90079,111,"Indio-Cathedral City, CA",345580
90086,22,"Riverside-San Bernardino, CA",1932666
90087,246,"Santa Maria, CA",130447
90088,342,"Napa, CA",83913
90089,123,"Santa Rosa, CA",308231
90090,28,"Sacramento, CA",1723634
90091,162,"Visalia, CA",219454
90092,240,"Fairfield, CA",133683
90093,267,"Redding, CA",117731
90095,15,"San Diego, CA",2956746
90119,69,"Mission Viejo-Lake Forest-San Clemente, CA",583681
90121,112,"Lancaster-Palmdale, CA",341219
90131,12,"Phoenix-Mesa, AZ",3629114
90134,13,"San Francisco-Oakland, CA",3281212
90136,12,"Phoenix-Mesa, AZ",3629114
90140,12,"Phoenix-Mesa, AZ",3629114
90142,382,"Davis, CA",72794
90144,66,"Concord, CA",615968
90146,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90147,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90148,114,"Victorville-Hesperia, CA",328454
90149,485,"Lompoc, CA",51509
90151,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90154,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90155,314,"Vacaville, CA",93141
90156,447,"San Luis Obispo, CA",59219
90157,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90159,13,"San Francisco-Oakland, CA",3281212
90161,13,"San Francisco-Oakland, CA",3281212
90162,137,"Antioch, CA",277634
90163,386,"Camarillo, CA",71772
90164,103,"Oxnard, CA",367260
90165,168,"Thousand Oaks, CA",214811
90166,2,"Los Angeles-Long Beach-Anaheim, CA",12150996
90167,382,"Davis, CA",72794
90168,28,"Sacramento, CA",1723634
90169,12,"Phoenix-Mesa, AZ",3629114
90171,146,"Santa Clarita, CA",258653
90173,235,"Merced, CA",136969
90175,403,"Lodi, CA",68738
