"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0063077","01303",21,0,2,"02",31080
"0063171","00600",19,0,5,"02",57820
"0063422","00500",21,0,1,"08",14500
"0063506","01307",21,0,2,"04",530
"0063673","01200",24,0,4,"01",64400
"0063868","00800",64,0,0,"02",0
"0063939","00200",3,0,2,"05",14000
"0063941","00600",0,2,1,"  ",0
"0064264","01304",13,0,5,"07",83900
"0064327","01303",24,0,2,"08",32000
"0064408","01304",27,0,2,"02",684000
"0064483","00200",21,0,2,"02",70000
"0064703","01307",22,0,3,"01",55450
"0065020","00701",30,0,3,"04",58300
"0065037","00600",6,0,1,"01",7600
"0065180","01000",30,0,3,"02",11000
"0065298","00100",6,0,1,"02",9500
"0065352","01307",30,0,7,"02",50800
"0065555","01000",6,0,4,"02",43280
"0065667","01000",19,0,2,"02",43360
"0066020","01306",34,0,1,"02",46000
"0066251","01309",24,0,2,"02",52000
"0066493","01306",24,0,2,"01",35380
"0066498","00400",21,0,2,"02",63810
"0066636","00900",19,0,2,"01",31610
"0066733","00600",21,0,2,"02",40000
"0067533","01200",21,0,2,"02",84900
"0067582","00900",31,0,3,"02",88000
"0067840","00500",9,0,3,"01",83300
"0067892","00600",9,0,5,"02",70000
"0067911","00500",9,0,2,"10",430
"0067976","01200",6,0,2,"02",84000
"0068022","00900",30,0,3,"02",53000
"0068059","01303",22,0,1,"02",7260
"0068740","01308",22,0,4,"02",67100
"0068746","00600",0,2,1,"  ",0
"0069460","01306",0,1,1,"  ",0
"0069581","00701",18,0,2,"02",45000
"0069737","01101",24,0,1,"02",40200
"0069953","00900",21,0,4,"02",22100
"0069975","01304",19,0,3,"02",85000
"0070201","00702",19,0,2,"02",70000
"0070253","01306",24,0,1,"05",30110
"0070325","01200",15,0,2,"02",107000
"0070386","01307",21,0,2,"02",56720
"0070449","01312",18,0,3,"03",64300
"0070452","00900",25,0,2,"02",12400
"0070478","01303",22,0,1,"08",35000
"0070638","01311",27,0,1,"09",11000
"0070683","01200",15,0,2,"02",23700
"0070835","01313",30,0,2,"02",62130
"0070953","01101",21,0,2,"02",84900
"0070955","00900",30,0,2,"02",49900
"0071188","01308",15,0,6,"02",10880
"0071246","01304",18,0,5,"02",49100
"0071331","01307",22,0,2,"02",83600
"0071731","01313",15,0,2,"08",67100
"0071791","01301",18,0,2,"02",26000
"0071822","00600",9,0,2,"02",89000
"0071924","01311",30,0,3,"02",92400
"0071974","01313",21,0,2,"03",51400
"0072160","00900",21,0,1,"02",13830
"0072245","01308",27,0,1,"04",29300
"0072301","01301",16,0,1,"02",18000
"0072656","01102",24,0,6,"02",44000
"0072714","01101",25,0,4,"03",23000
"0072867","00200",10,0,3,"02",33400
"0073232","01301",12,0,4,"04",81740
"0073323","01200",25,0,5,"02",165000
"0073429","01309",14,0,2,"02",48900
"0073549","00900",9,0,1,"04",6400
"0073741","00500",18,0,1,"02",279000
"0073902","01307",22,0,5,"02",81300
"0073912","00800",43,0,0,"03",0
"0074159","00500",12,0,3,"01",8320
"0074355","00200",6,0,2,"02",80000
"0074396","01102",21,0,2,"02",96300
"0074430","00500",20,0,0,"02",0
"0074486","00900",28,0,1,"02",2800
"0074506","01000",18,0,1,"01",0
"0074519","00701",24,0,1,"02",149800
"0074545","00200",6,0,4,"02",36400
"0074658","01306",25,0,2,"02",57400
"0074907","00500",6,0,0,"02",0
"0075372","00702",15,0,1,"02",25900
"0075387","01000",30,0,2,"02",23200
"0075581","01301",21,0,3,"02",145400
"0075588","01311",21,0,1,"02",23000
"0075600","01310",24,0,4,"02",106000
"0075698","01313",20,0,0,"06",0
"0075790","00300",15,0,4,"02",37280
"0075948","00702",20,0,0,"08",0
"0076014","00300",25,0,5,"02",11200
"0076268","00500",6,0,2,"02",101200
"0076398","01308",27,0,2,"02",74330
"0076419","01313",27,0,1,"05",14900
"0076693","00701",21,0,2,"02",16700
"0076890","00100",9,0,1,"02",25600
"0076922","01312",7,0,0,"02",0
"0076941","00400",28,0,5,"02",55000
"0077134","00300",21,0,2,"02",12890
"0077145","01000",9,0,1,"01",13730
"0077148","01000",31,0,1,"08",13540
"0077452","00600",22,0,6,"03",37500
"0077475","01102",30,0,4,"02",105000
"0077531","01310",18,0,3,"02",84700
"0077831","01101",24,0,2,"02",53500
"0078254","01302",27,0,2,"02",55100
"0078355","01303",19,0,1,"08",0
"0078379","00200",10,0,0,"10",0
"0078452","00200",9,0,1,"02",9800
"0078493","00600",24,0,2,"02",15700
"0078828","01308",24,0,4,"02",117000
"0078872","01311",9,0,5,"02",70600
"0079019","00500",7,0,0,"01",0
"0079057","01312",24,0,2,"02",49600
"0079154","00500",24,0,0,"02",0
"0079470","00400",25,0,4,"02",84490
"0079593","01313",25,0,3,"02",82180
"0079615","00900",21,0,2,"02",42400
"0080149","01308",18,0,2,"02",68900
"0080291","01305",19,0,2,"02",145200
"0080541","00200",6,0,1,"02",16200
"0080757","00200",18,0,2,"01",28000
"0080965","01200",25,0,2,"02",78030
